id,year,state_name,state_code,cause,gender,number_of_deaths,severity_level,risk_category,decade,age_group
0,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Female,1.0,Low,Financial,2010s,45-59
1,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Male,4.0,Low,Financial,2010s,45-59
2,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Transgender,0.0,Low,Financial,2010s,45-59
3,2018,Andaman And Nicobar Islands,35,Causes Not Known,Female,7.0,Low,Psychological,2010s,25-44
4,2018,Andaman And Nicobar Islands,35,Causes Not Known,Male,7.0,Low,Psychological,2010s,25-44
5,2018,Andaman And Nicobar Islands,35,Causes Not Known,Transgender,0.0,Low,Psychological,2010s,25-44
6,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Female,1.0,Low,Social,2010s,45-59
7,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Male,1.0,Low,Social,2010s,45-59
8,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Transgender,0.0,Low,Social,2010s,45-59
9,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Female,2.0,Low,Health,2010s,18-29
10,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Male,14.0,Low,Health,2010s,18-29
11,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Transgender,0.0,Low,Health,2010s,18-29
12,2018,Andaman And Nicobar Islands,35,Failure In Examination,Female,1.0,Low,Educational,2010s,15-24
13,2018,Andaman And Nicobar Islands,35,Failure In Examination,Male,0.0,Low,Educational,2010s,15-24
14,2018,Andaman And Nicobar Islands,35,Failure In Examination,Transgender,0.0,Low,Educational,2010s,15-24
15,2018,Andaman And Nicobar Islands,35,Fall In Social Reputation,Female,0.0,Low,Social,2010s,18-29
16,2018,Andaman And Nicobar Islands,35,Fall In Social Reputation,Male,0.0,Low,Social,2010s,18-29
17,2018,Andaman And Nicobar Islands,35,Fall In Social Reputation,Transgender,0.0,Low,Social,2010s,18-29
18,2018,Andaman And Nicobar Islands,35,Family Problems,Female,19.0,Low,Social,2010s,25-44
19,2018,Andaman And Nicobar Islands,35,Family Problems,Male,21.0,Low,Social,2010s,25-44
20,2018,Andaman And Nicobar Islands,35,Family Problems,Transgender,0.0,Low,Social,2010s,25-44
21,2018,Andaman And Nicobar Islands,35,Ideological Causes/Hero Worshipping,Female,0.0,Low,Psychological,2010s,18-29
22,2018,Andaman And Nicobar Islands,35,Ideological Causes/Hero Worshipping,Male,0.0,Low,Psychological,2010s,18-29
23,2018,Andaman And Nicobar Islands,35,Ideological Causes/Hero Worshipping,Transgender,0.0,Low,Psychological,2010s,18-29
24,2018,Andaman And Nicobar Islands,35,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Female,0.0,Low,Relationship,2010s,18-29
25,2018,Andaman And Nicobar Islands,35,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Male,0.0,Low,Relationship,2010s,18-29
26,2018,Andaman And Nicobar Islands,35,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Transgender,0.0,Low,Relationship,2010s,18-29
27,2018,Andaman And Nicobar Islands,35,Illness (Aids/Std),Female,0.0,Low,Health,2010s,60+
28,2018,Andaman And Nicobar Islands,35,Illness (Aids/Std),Male,0.0,Low,Health,2010s,60+
29,2018,Andaman And Nicobar Islands,35,Illness (Aids/Std),Transgender,0.0,Low,Health,2010s,60+
30,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Female,1.0,Low,Health,2010s,60+
31,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Male,0.0,Low,Health,2010s,60+
32,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Transgender,0.0,Low,Health,2010s,60+
33,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Female,2.0,Low,Mental Health,2010s,60+
34,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Male,14.0,Low,Mental Health,2010s,60+
35,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Transgender,0.0,Low,Mental Health,2010s,60+
36,2018,Andaman And Nicobar Islands,35,Illness (Other Prolonged Illness),Female,8.0,Low,Health,2010s,60+
37,2018,Andaman And Nicobar Islands,35,Illness (Other Prolonged Illness),Male,20.0,Low,Health,2010s,60+
38,2018,Andaman And Nicobar Islands,35,Illness (Other Prolonged Illness),Transgender,0.0,Low,Health,2010s,60+
39,2018,Andaman And Nicobar Islands,35,Illness (Paralysis),Female,0.0,Low,Health,2010s,60+
